2026-06-02 08:29:16.505 [ERR] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] AUTH|88-1-1-100-1-376517-100-100-G | [R] RAUTH|376517-NoAutorizado | [E] La carga no fue autorizada.
2026-06-02 08:29:55.577 [ERR] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] AUTH|1-1-1-100-1-376517-100-100-G | [R] RAUTH|376517-NoAutorizado | [E] La carga no fue autorizada.
2026-06-02 08:30:02.599 [ERR] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] AUTH|88-1-1-100-1-376517-100-100-G | [R] RAUTH|376517-NoAutorizado | [E] La carga no fue autorizada.
2026-06-02 08:31:43.527 [ERR] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] AUTH|88-1-1-100-2-376796-100-100-G | [R] RAUTH|376796-NoAutorizado | [E] La carga no fue autorizada.
2026-06-02 08:31:48.284 [ERR] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] AUTH|0-1-1-100-2-376796-100-100-G | [R] RAUTH|376796-NoAutorizado | [E] La carga no fue autorizada.
2026-06-02 08:32:03.832 [ERR] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] AUTH|1-1-1-100-2-376796-100-100-G | [R] RAUTH|376796-NoAutorizado | [E] La carga no fue autorizada.
2026-06-02 08:32:12.781 [ERR] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] AUTH|88-1-1-100-2-376796-100-100-G | [R] RAUTH|376796-NoAutorizado | [E] La carga no fue autorizada.
2026-06-02 08:32:28.392 [ERR] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] AUTH|77-1-1-100-2-376796-100-100-G | [R] RAUTH|376796-NoAutorizado | [E] La carga no fue autorizada.
2026-06-02 08:32:33.164 [ERR] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] AUTH|88-1-1-100-2-376796-100-100-G | [R] RAUTH|376796-NoAutorizado | [E] La carga no fue autorizada.
2026-06-02 08:32:40.054 [ERR] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] AUTH|88-1-1-100-2-376796-100-100-G | [R] RAUTH|376796-NoAutorizado | [E] La carga no fue autorizada.
2026-06-02 08:33:21.861 [ERR] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] AUTH|88-1-1-100-2-376796-100-100-G | [R] RAUTH|376796-NoAutorizado | [E] La carga no fue autorizada.
2026-06-02 08:35:49.315 [ERR] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] AUTH|88-1-1-100-2-376517-100-100-G | [R] RAUTH|376517-NoAutorizado | [E] La carga no fue autorizada.
2026-06-02 08:38:38.083 [ERR] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] AUTH|88-1-1-100-2-376693-100-100-G | [R] RAUTH|376693-NoAutorizado | [E] La carga no fue autorizada.
2026-06-02 08:39:28.483 [ERR] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] AUTH|88-1-1-100-2-376693-100-100-G | [R] RAUTH|376693-NoAutorizado | [E] La carga no fue autorizada.
2026-06-02 08:49:53.969 [ERR] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] AUTH|88-1-1-9990-3-376517-9990-9990-G | [R] RAUTH|376517-NoAutorizado | [E] La carga no fue autorizada.
2026-06-02 08:53:09.647 [ERR] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] AUTH|88-1-1-9990-3-376517-9990-9990-G | [R] RAUTH|376517-NoAutorizado | [E] La carga no fue autorizada.
2026-06-02 08:58:20.396 [ERR] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] AUTH|66-1-1-9990-3-376517-9990-9990-G | [R] RAUTH|376517-NoAutorizado | [E] La carga no fue autorizada.
2026-06-02 08:58:25.295 [ERR] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] AUTH|99-1-1-9990-3-376517-9990-9990-G | [R] RAUTH|376517-NoAutorizado | [E] La carga no fue autorizada.
2026-06-02 09:05:49.159 [ERR] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] UPDATE tblDispensarios SET intEstatus = 2 WHERE intDispensario = 2 | [R] (sin datos) | [E] No se pudo actualizar el estatus del dispensario en base de datos. | [I] System.IO.IOException: The process cannot access the file 'C:\Users\S.padilla\source\repos\LoadManager\LoadManager\bin\Debug\net10.0-windows10.0.19041.0\win-x64\Logs\success\2026-06\2026-06-02\log_20260602.txt' because it is being used by another process. |    at System.IO.File.WriteToFileAsync(String path, FileMode mode, ReadOnlyMemory`1 contents, Encoding encoding, CancellationToken cancellationToken) |    at LoadManager.Services.ConsoleLogService.WriteAsync(ConsoleCommandResult result, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\ConsoleLogService.cs:line 21 |    at LoadManager.Services.GasStationDatabaseService.LogAndReturnAsync(ConsoleCommandResult result, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationDatabaseService.cs:line 396 |    at LoadManager.Services.GasStationDatabaseService.UpdateDispenserStatusAsync(Int32 dispenser, Int32 status, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationDatabaseService.cs:line 159 |    at LoadManager.Services.GasStationDatabaseService.UpdateDispenserStatusAsync(Int32 dispenser, Int32 status, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationDatabaseService.cs:line 159 |    at LoadManager.Services.GasStationDatabaseService.UpdateDispenserStatusAsync(Int32 dispenser, Int32 status, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationDatabaseService.cs:line 159
2026-06-02 09:09:42.535 [ERR] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] UPDATE tblDispensarios SET intEstatus = 2 WHERE intDispensario = 2 | [R] (sin datos) | [E] No se pudo actualizar el estatus del dispensario en base de datos. | [I] System.IO.IOException: The process cannot access the file 'C:\Users\S.padilla\source\repos\LoadManager\LoadManager\bin\Debug\net10.0-windows10.0.19041.0\win-x64\Logs\success\2026-06\2026-06-02\log_20260602.txt' because it is being used by another process. |    at System.IO.File.WriteToFileAsync(String path, FileMode mode, ReadOnlyMemory`1 contents, Encoding encoding, CancellationToken cancellationToken) |    at LoadManager.Services.ConsoleLogService.WriteAsync(ConsoleCommandResult result, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\ConsoleLogService.cs:line 21 |    at LoadManager.Services.GasStationDatabaseService.LogAndReturnAsync(ConsoleCommandResult result, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationDatabaseService.cs:line 396 |    at LoadManager.Services.GasStationDatabaseService.UpdateDispenserStatusAsync(Int32 dispenser, Int32 status, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationDatabaseService.cs:line 159 |    at LoadManager.Services.GasStationDatabaseService.UpdateDispenserStatusAsync(Int32 dispenser, Int32 status, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationDatabaseService.cs:line 159 |    at LoadManager.Services.GasStationDatabaseService.UpdateDispenserStatusAsync(Int32 dispenser, Int32 status, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationDatabaseService.cs:line 159
2026-06-02 09:11:38.899 [ERR] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] UPDATE tblDispensarios SET intEstatus = 2 WHERE intDispensario = 2 | [R] (sin datos) | [E] No se pudo actualizar el estatus del dispensario en base de datos. | [I] System.IO.IOException: The process cannot access the file 'C:\Users\S.padilla\source\repos\LoadManager\LoadManager\bin\Debug\net10.0-windows10.0.19041.0\win-x64\Logs\success\2026-06\2026-06-02\log_20260602.txt' because it is being used by another process. |    at System.IO.File.WriteToFileAsync(String path, FileMode mode, ReadOnlyMemory`1 contents, Encoding encoding, CancellationToken cancellationToken) |    at LoadManager.Services.ConsoleLogService.WriteAsync(ConsoleCommandResult result, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\ConsoleLogService.cs:line 21 |    at LoadManager.Services.GasStationDatabaseService.LogAndReturnAsync(ConsoleCommandResult result, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationDatabaseService.cs:line 396 |    at LoadManager.Services.GasStationDatabaseService.UpdateDispenserStatusAsync(Int32 dispenser, Int32 status, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationDatabaseService.cs:line 159 |    at LoadManager.Services.GasStationDatabaseService.UpdateDispenserStatusAsync(Int32 dispenser, Int32 status, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationDatabaseService.cs:line 159 |    at LoadManager.Services.GasStationDatabaseService.UpdateDispenserStatusAsync(Int32 dispenser, Int32 status, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationDatabaseService.cs:line 159
2026-06-02 09:12:09.685 [ERR] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] UPDATE tblDispensarios SET intEstatus = 2 WHERE intDispensario = 1 | [R] (sin datos) | [E] No se pudo actualizar el estatus del dispensario en base de datos. | [I] System.IO.IOException: The process cannot access the file 'C:\Users\S.padilla\source\repos\LoadManager\LoadManager\bin\Debug\net10.0-windows10.0.19041.0\win-x64\Logs\success\2026-06\2026-06-02\log_20260602.txt' because it is being used by another process. |    at System.IO.File.WriteToFileAsync(String path, FileMode mode, ReadOnlyMemory`1 contents, Encoding encoding, CancellationToken cancellationToken) |    at LoadManager.Services.ConsoleLogService.WriteAsync(ConsoleCommandResult result, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\ConsoleLogService.cs:line 21 |    at LoadManager.Services.GasStationDatabaseService.LogAndReturnAsync(ConsoleCommandResult result, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationDatabaseService.cs:line 396 |    at LoadManager.Services.GasStationDatabaseService.UpdateDispenserStatusAsync(Int32 dispenser, Int32 status, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationDatabaseService.cs:line 159 |    at LoadManager.Services.GasStationDatabaseService.UpdateDispenserStatusAsync(Int32 dispenser, Int32 status, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationDatabaseService.cs:line 159 |    at LoadManager.Services.GasStationDatabaseService.UpdateDispenserStatusAsync(Int32 dispenser, Int32 status, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationDatabaseService.cs:line 159
2026-06-02 09:12:19.998 [ERR] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] UPDATE tblDispensarios SET intEstatus = 2 WHERE intDispensario = 2 | [R] (sin datos) | [E] No se pudo actualizar el estatus del dispensario en base de datos. | [I] System.IO.IOException: The process cannot access the file 'C:\Users\S.padilla\source\repos\LoadManager\LoadManager\bin\Debug\net10.0-windows10.0.19041.0\win-x64\Logs\success\2026-06\2026-06-02\log_20260602.txt' because it is being used by another process. |    at System.IO.File.WriteToFileAsync(String path, FileMode mode, ReadOnlyMemory`1 contents, Encoding encoding, CancellationToken cancellationToken) |    at LoadManager.Services.ConsoleLogService.WriteAsync(ConsoleCommandResult result, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\ConsoleLogService.cs:line 21 |    at LoadManager.Services.GasStationDatabaseService.LogAndReturnAsync(ConsoleCommandResult result, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationDatabaseService.cs:line 396 |    at LoadManager.Services.GasStationDatabaseService.UpdateDispenserStatusAsync(Int32 dispenser, Int32 status, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationDatabaseService.cs:line 159 |    at LoadManager.Services.GasStationDatabaseService.UpdateDispenserStatusAsync(Int32 dispenser, Int32 status, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationDatabaseService.cs:line 159 |    at LoadManager.Services.GasStationDatabaseService.UpdateDispenserStatusAsync(Int32 dispenser, Int32 status, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationDatabaseService.cs:line 159
2026-06-02 09:13:10.211 [ERR] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] UPDATE tblDispensarios SET intEstatus = 2 WHERE intDispensario = 2 | [R] (sin datos) | [E] No se pudo actualizar el estatus del dispensario en base de datos. | [I] System.IO.IOException: The process cannot access the file 'C:\Users\S.padilla\source\repos\LoadManager\LoadManager\bin\Debug\net10.0-windows10.0.19041.0\win-x64\Logs\success\2026-06\2026-06-02\log_20260602.txt' because it is being used by another process. |    at System.IO.File.WriteToFileAsync(String path, FileMode mode, ReadOnlyMemory`1 contents, Encoding encoding, CancellationToken cancellationToken) |    at LoadManager.Services.ConsoleLogService.WriteAsync(ConsoleCommandResult result, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\ConsoleLogService.cs:line 21 |    at LoadManager.Services.GasStationDatabaseService.LogAndReturnAsync(ConsoleCommandResult result, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationDatabaseService.cs:line 396 |    at LoadManager.Services.GasStationDatabaseService.UpdateDispenserStatusAsync(Int32 dispenser, Int32 status, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationDatabaseService.cs:line 159 |    at LoadManager.Services.GasStationDatabaseService.UpdateDispenserStatusAsync(Int32 dispenser, Int32 status, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationDatabaseService.cs:line 159 |    at LoadManager.Services.GasStationDatabaseService.UpdateDispenserStatusAsync(Int32 dispenser, Int32 status, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationDatabaseService.cs:line 159
2026-06-02 09:13:50.456 [ERR] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] UPDATE tblDispensarios SET intEstatus = 2 WHERE intDispensario = 2 | [R] (sin datos) | [E] No se pudo actualizar el estatus del dispensario en base de datos. | [I] System.IO.IOException: The process cannot access the file 'C:\Users\S.padilla\source\repos\LoadManager\LoadManager\bin\Debug\net10.0-windows10.0.19041.0\win-x64\Logs\success\2026-06\2026-06-02\log_20260602.txt' because it is being used by another process. |    at System.IO.File.WriteToFileAsync(String path, FileMode mode, ReadOnlyMemory`1 contents, Encoding encoding, CancellationToken cancellationToken) |    at LoadManager.Services.ConsoleLogService.WriteAsync(ConsoleCommandResult result, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\ConsoleLogService.cs:line 21 |    at LoadManager.Services.GasStationDatabaseService.LogAndReturnAsync(ConsoleCommandResult result, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationDatabaseService.cs:line 396 |    at LoadManager.Services.GasStationDatabaseService.UpdateDispenserStatusAsync(Int32 dispenser, Int32 status, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationDatabaseService.cs:line 159 |    at LoadManager.Services.GasStationDatabaseService.UpdateDispenserStatusAsync(Int32 dispenser, Int32 status, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationDatabaseService.cs:line 159 |    at LoadManager.Services.GasStationDatabaseService.UpdateDispenserStatusAsync(Int32 dispenser, Int32 status, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationDatabaseService.cs:line 159
2026-06-02 09:14:15.121 [ERR] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] UPDATE tblDispensarios SET intEstatus = 2 WHERE intDispensario = 2 | [R] (sin datos) | [E] No se pudo actualizar el estatus del dispensario en base de datos. | [I] System.IO.IOException: The process cannot access the file 'C:\Users\S.padilla\source\repos\LoadManager\LoadManager\bin\Debug\net10.0-windows10.0.19041.0\win-x64\Logs\success\2026-06\2026-06-02\log_20260602.txt' because it is being used by another process. |    at System.IO.File.WriteToFileAsync(String path, FileMode mode, ReadOnlyMemory`1 contents, Encoding encoding, CancellationToken cancellationToken) |    at LoadManager.Services.ConsoleLogService.WriteAsync(ConsoleCommandResult result, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\ConsoleLogService.cs:line 21 |    at LoadManager.Services.GasStationDatabaseService.LogAndReturnAsync(ConsoleCommandResult result, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationDatabaseService.cs:line 396 |    at LoadManager.Services.GasStationDatabaseService.UpdateDispenserStatusAsync(Int32 dispenser, Int32 status, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationDatabaseService.cs:line 159 |    at LoadManager.Services.GasStationDatabaseService.UpdateDispenserStatusAsync(Int32 dispenser, Int32 status, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationDatabaseService.cs:line 159 |    at LoadManager.Services.GasStationDatabaseService.UpdateDispenserStatusAsync(Int32 dispenser, Int32 status, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationDatabaseService.cs:line 159
2026-06-02 09:14:20.345 [ERR] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] UPDATE tblDispensarios SET intEstatus = 2 WHERE intDispensario = 1 | [R] (sin datos) | [E] No se pudo actualizar el estatus del dispensario en base de datos. | [I] System.IO.IOException: The process cannot access the file 'C:\Users\S.padilla\source\repos\LoadManager\LoadManager\bin\Debug\net10.0-windows10.0.19041.0\win-x64\Logs\success\2026-06\2026-06-02\log_20260602.txt' because it is being used by another process. |    at System.IO.File.WriteToFileAsync(String path, FileMode mode, ReadOnlyMemory`1 contents, Encoding encoding, CancellationToken cancellationToken) |    at LoadManager.Services.ConsoleLogService.WriteAsync(ConsoleCommandResult result, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\ConsoleLogService.cs:line 21 |    at LoadManager.Services.GasStationDatabaseService.LogAndReturnAsync(ConsoleCommandResult result, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationDatabaseService.cs:line 396 |    at LoadManager.Services.GasStationDatabaseService.UpdateDispenserStatusAsync(Int32 dispenser, Int32 status, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationDatabaseService.cs:line 159 |    at LoadManager.Services.GasStationDatabaseService.UpdateDispenserStatusAsync(Int32 dispenser, Int32 status, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationDatabaseService.cs:line 159 |    at LoadManager.Services.GasStationDatabaseService.UpdateDispenserStatusAsync(Int32 dispenser, Int32 status, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationDatabaseService.cs:line 159
2026-06-02 09:22:58.448 [ERR] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] UPDATE tblDispensarios SET intEstatus = 2 WHERE intDispensario = 2 | [R] (sin datos) | [E] No se pudo actualizar el estatus del dispensario en base de datos. | [I] System.IO.IOException: The process cannot access the file 'C:\Users\S.padilla\source\repos\LoadManager\LoadManager\bin\Debug\net10.0-windows10.0.19041.0\win-x64\Logs\success\2026-06\2026-06-02\log_20260602.txt' because it is being used by another process. |    at System.IO.File.WriteToFileAsync(String path, FileMode mode, ReadOnlyMemory`1 contents, Encoding encoding, CancellationToken cancellationToken) |    at LoadManager.Services.ConsoleLogService.WriteAsync(ConsoleCommandResult result, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\ConsoleLogService.cs:line 21 |    at LoadManager.Services.GasStationDatabaseService.LogAndReturnAsync(ConsoleCommandResult result, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationDatabaseService.cs:line 396 |    at LoadManager.Services.GasStationDatabaseService.UpdateDispenserStatusAsync(Int32 dispenser, Int32 status, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationDatabaseService.cs:line 159 |    at LoadManager.Services.GasStationDatabaseService.UpdateDispenserStatusAsync(Int32 dispenser, Int32 status, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationDatabaseService.cs:line 159 |    at LoadManager.Services.GasStationDatabaseService.UpdateDispenserStatusAsync(Int32 dispenser, Int32 status, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationDatabaseService.cs:line 159
2026-06-02 09:23:57.302 [ERR] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] UPDATE tblDispensarios SET intEstatus = 2 WHERE intDispensario = 2 | [R] (sin datos) | [E] No se pudo actualizar el estatus del dispensario en base de datos. | [I] System.IO.IOException: The process cannot access the file 'C:\Users\S.padilla\source\repos\LoadManager\LoadManager\bin\Debug\net10.0-windows10.0.19041.0\win-x64\Logs\success\2026-06\2026-06-02\log_20260602.txt' because it is being used by another process. |    at System.IO.File.WriteToFileAsync(String path, FileMode mode, ReadOnlyMemory`1 contents, Encoding encoding, CancellationToken cancellationToken) |    at LoadManager.Services.ConsoleLogService.WriteAsync(ConsoleCommandResult result, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\ConsoleLogService.cs:line 21 |    at LoadManager.Services.GasStationDatabaseService.LogAndReturnAsync(ConsoleCommandResult result, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationDatabaseService.cs:line 396 |    at LoadManager.Services.GasStationDatabaseService.UpdateDispenserStatusAsync(Int32 dispenser, Int32 status, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationDatabaseService.cs:line 159 |    at LoadManager.Services.GasStationDatabaseService.UpdateDispenserStatusAsync(Int32 dispenser, Int32 status, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationDatabaseService.cs:line 159 |    at LoadManager.Services.GasStationDatabaseService.UpdateDispenserStatusAsync(Int32 dispenser, Int32 status, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationDatabaseService.cs:line 159
2026-06-02 09:24:26.744 [ERR] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] UPDATE tblDispensarios SET intEstatus = 2 WHERE intDispensario = 1 | [R] (sin datos) | [E] No se pudo actualizar el estatus del dispensario en base de datos. | [I] System.IO.IOException: The process cannot access the file 'C:\Users\S.padilla\source\repos\LoadManager\LoadManager\bin\Debug\net10.0-windows10.0.19041.0\win-x64\Logs\success\2026-06\2026-06-02\log_20260602.txt' because it is being used by another process. |    at System.IO.File.WriteToFileAsync(String path, FileMode mode, ReadOnlyMemory`1 contents, Encoding encoding, CancellationToken cancellationToken) |    at LoadManager.Services.ConsoleLogService.WriteAsync(ConsoleCommandResult result, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\ConsoleLogService.cs:line 21 |    at LoadManager.Services.GasStationDatabaseService.LogAndReturnAsync(ConsoleCommandResult result, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationDatabaseService.cs:line 396 |    at LoadManager.Services.GasStationDatabaseService.UpdateDispenserStatusAsync(Int32 dispenser, Int32 status, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationDatabaseService.cs:line 159 |    at LoadManager.Services.GasStationDatabaseService.UpdateDispenserStatusAsync(Int32 dispenser, Int32 status, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationDatabaseService.cs:line 159 |    at LoadManager.Services.GasStationDatabaseService.UpdateDispenserStatusAsync(Int32 dispenser, Int32 status, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationDatabaseService.cs:line 159
2026-06-02 09:25:29.490 [ERR] LoadManager.Services.GasStationConsoleClient | [Despacho][TCP] [P] UPDATE tblDispensarios SET intEstatus = 2 WHERE intDispensario = 2 | [R] (sin datos) | [E] No se pudo actualizar el estatus del dispensario en base de datos. | [I] System.IO.IOException: The process cannot access the file 'C:\Users\S.padilla\source\repos\LoadManager\LoadManager\bin\Debug\net10.0-windows10.0.19041.0\win-x64\Logs\success\2026-06\2026-06-02\log_20260602.txt' because it is being used by another process. |    at System.IO.File.WriteToFileAsync(String path, FileMode mode, ReadOnlyMemory`1 contents, Encoding encoding, CancellationToken cancellationToken) |    at LoadManager.Services.ConsoleLogService.WriteAsync(ConsoleCommandResult result, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\ConsoleLogService.cs:line 21 |    at LoadManager.Services.GasStationDatabaseService.LogAndReturnAsync(ConsoleCommandResult result, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationDatabaseService.cs:line 396 |    at LoadManager.Services.GasStationDatabaseService.UpdateDispenserStatusAsync(Int32 dispenser, Int32 status, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationDatabaseService.cs:line 159 |    at LoadManager.Services.GasStationDatabaseService.UpdateDispenserStatusAsync(Int32 dispenser, Int32 status, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationDatabaseService.cs:line 159 |    at LoadManager.Services.GasStationDatabaseService.UpdateDispenserStatusAsync(Int32 dispenser, Int32 status, CancellationToken cancellationToken) in C:\Users\S.padilla\source\repos\LoadManager\LoadManager\Services\GasStationDatabaseService.cs:line 159
